LEDGER t=6400113 tip=6400032, quorum=0.5
PARTICIPATION epoch=200002, participation=0.9974103295524381
LEDGER t=6400145 tip=6400064, quorum=0.5
PARTICIPATION epoch=200003, participation=0.9993943312244455
LEDGER t=6400177 tip=6400096, quorum=0.5
PARTICIPATION epoch=200004, participation=0.9913964285587419
LEDGER t=6400209 tip=6400128, quorum=0.5
PARTICIPATION epoch=200005, participation=1
LEDGER t=6400241 tip=6400160, quorum=0.5
PARTICIPATION epoch=200006, participation=0.9974406700791065
LEDGER t=6400273 tip=6400192, quorum=0.5
PARTICIPATION epoch=200007, participation=0.9990444830440142
LEDGER t=6400305 tip=6400224, quorum=0.5
PARTICIPATION epoch=200008, participation=0.9999449431138043
LEDGER t=6400337 tip=6400256, quorum=0.5
PARTICIPATION epoch=200009, participation=1
LEDGER t=6400369 tip=6400288, quorum=0.5
PARTICIPATION epoch=200010, participation=0.9998721295753636
LEDGER t=6400400 tip=6400320, quorum=0.5
PARTICIPATION epoch=200011, participation=1
LEDGER t=6400432 tip=6400352, quorum=0.5
PARTICIPATION epoch=200012, participation=0.9999822406288238
LEDGER t=6400465 tip=6400384, quorum=0.5
PARTICIPATION epoch=200013, participation=1
LEDGER t=6400496 tip=6400416, quorum=0.5
PARTICIPATION epoch=200014, participation=1
LEDGER t=6400528 tip=6400448, quorum=0.5
PARTICIPATION epoch=200015, participation=1
LEDGER t=6400561 tip=6400480, quorum=0.5
PARTICIPATION epoch=200016, participation=1
LEDGER t=6400593 tip=6400512, quorum=0.5
PARTICIPATION epoch=200017, participation=0.9999786896628883
LEDGER t=6400624 tip=6400544, quorum=0.5
PARTICIPATION epoch=200018, participation=1
LEDGER t=6400657 tip=6400576, quorum=0.5
PARTICIPATION epoch=200019, participation=1
LEDGER t=6400689 tip=6400608, quorum=0.5
PARTICIPATION epoch=200020, participation=0.9870793829499708
LEDGER t=6400721 tip=6400640, quorum=0.5
PARTICIPATION epoch=200021, participation=1
LEDGER t=6400753 tip=6400672, quorum=0.5
PARTICIPATION epoch=200022, participation=0.9999183155965714
LEDGER t=6400785 tip=6400704, quorum=0.5
PARTICIPATION epoch=200023, participation=0.9991920461829953
LEDGER t=6400816 tip=6400736, quorum=0.5
PARTICIPATION epoch=200024, participation=0.9967877633137355
LEDGER t=6400849 tip=6400768, quorum=0.5
PARTICIPATION epoch=200025, participation=1
LEDGER t=6400881 tip=6400800, quorum=0.5
PARTICIPATION epoch=200026, participation=1
LEDGER t=6400913 tip=6400832, quorum=0.5
PARTICIPATION epoch=200027, participation=0.9992933012773846
LEDGER t=6400945 tip=6400864, quorum=0.5
PARTICIPATION epoch=200028, participation=0.9850299188550933
LEDGER t=6400977 tip=6400896, quorum=0.5
PARTICIPATION epoch=200029, participation=0.9972549569688759
LEDGER t=6401009 tip=6400928, quorum=0.5
PARTICIPATION epoch=200030, participation=0.9964932839729761
LEDGER t=6401041 tip=6400960, quorum=0.5
PARTICIPATION epoch=200031, participation=0.9981570027680469
LEDGER t=6401073 tip=6400992, quorum=0.5
PARTICIPATION epoch=200032, participation=0.9989489028285522
LEDGER t=6401105 tip=6401024, quorum=0.5
PARTICIPATION epoch=200033, participation=1
LEDGER t=6401137 tip=6401056, quorum=0.5
PARTICIPATION epoch=200034, participation=0.9979280480508205
LEDGER t=6401169 tip=6401088, quorum=0.5
PARTICIPATION epoch=200035, participation=0.9983097701322889
LEDGER t=6401201 tip=6401120, quorum=0.5
PARTICIPATION epoch=200036, participation=0.9994460591189854
LEDGER t=6401233 tip=6401152, quorum=0.5
PARTICIPATION epoch=200037, participation=0.9991903940969787
LEDGER t=6401265 tip=6401184, quorum=0.5
PARTICIPATION epoch=200038, participation=0.9996466851431991
LEDGER t=6401297 tip=6401216, quorum=0.5
PARTICIPATION epoch=200039, participation=1
LEDGER t=6401329 tip=6401248, quorum=0.5
PARTICIPATION epoch=200040, participation=0.9997443358858318
LEDGER t=6401360 tip=6401280, quorum=0.5
PARTICIPATION epoch=200041, participation=1
LEDGER t=6401393 tip=6401312, quorum=0.5
PARTICIPATION epoch=200042, participation=1
LEDGER t=6401425 tip=6401344, quorum=0.5
PARTICIPATION epoch=200043, participation=0.9995845605662759
LEDGER t=6401457 tip=6401376, quorum=0.5
PARTICIPATION epoch=200044, participation=0.9995046754026066
LEDGER t=6401489 tip=6401408, quorum=0.5
PARTICIPATION epoch=200045, participation=0.9966073409968488
LEDGER t=6401521 tip=6401440, quorum=0.5
PARTICIPATION epoch=200046, participation=0.9991034701917153
LEDGER t=6401553 tip=6401472, quorum=0.5
PARTICIPATION epoch=200047, participation=0.9993822020944769
LEDGER t=6401584 tip=6401504, quorum=0.5
PARTICIPATION epoch=200048, participation=0.9686436510627571
LEDGER t=6401617 tip=6401536, quorum=0.5
PARTICIPATION epoch=200049, participation=0.9997390405925021
LEDGER t=6401649 tip=6401568, quorum=0.5
PARTICIPATION epoch=200050, participation=0.9989987786519726
LEDGER t=6401680 tip=6401600, quorum=0.5
PARTICIPATION epoch=200051, participation=0.9810125346384553
LEDGER t=6401713 tip=6401632, quorum=0.5
PARTICIPATION epoch=200052, participation=0.9997763288463006
LEDGER t=6401745 tip=6401664, quorum=0.5
PARTICIPATION epoch=200053, participation=1
LEDGER t=6401777 tip=6401696, quorum=0.5
PARTICIPATION epoch=200054, participation=0.9698212279197576
LEDGER t=6401809 tip=6401728, quorum=0.5
PARTICIPATION epoch=200055, participation=0.9995100675787221
LEDGER t=6401841 tip=6401760, quorum=0.5
PARTICIPATION epoch=200056, participation=0.995175230720893
LEDGER t=6401873 tip=6401792, quorum=0.5
PARTICIPATION epoch=200057, participation=0.9791956232703699
LEDGER t=6401905 tip=6401824, quorum=0.5
PARTICIPATION epoch=200058, participation=0.9997355107837046
LEDGER t=6401936 tip=6401856, quorum=0.5
PARTICIPATION epoch=200059, participation=1
LEDGER t=6401968 tip=6401887, quorum=0.5
PARTICIPATION epoch=200060, participation=1
LEDGER t=6402001 tip=6401920, quorum=0.5
PARTICIPATION epoch=200061, participation=1
LEDGER t=6402033 tip=6401952, quorum=0.5
PARTICIPATION epoch=200062, participation=0.9991639730980388
LEDGER t=6402065 tip=6401984, quorum=0.5
PARTICIPATION epoch=200063, participation=1
LEDGER t=6402097 tip=6402016, quorum=0.5
PARTICIPATION epoch=200064, participation=0.9998775279821936
LEDGER t=6402129 tip=6402048, quorum=0.5
PARTICIPATION epoch=200065, participation=0.9974476483931545
LEDGER t=6402161 tip=6402080, quorum=0.5
PARTICIPATION epoch=200066, participation=0.9998952805239524
LEDGER t=6402193 tip=6402112, quorum=0.5
PARTICIPATION epoch=200067, participation=0.9982322183529813
LEDGER t=6402225 tip=6402144, quorum=0.5
PARTICIPATION epoch=200068, participation=1
LEDGER t=6402257 tip=6402176, quorum=0.5
PARTICIPATION epoch=200069, participation=0.9855511027023574
LEDGER t=6402289 tip=6402208, quorum=0.5
PARTICIPATION epoch=200070, participation=0.9992971744995031
LEDGER t=6402321 tip=6402240, quorum=0.5
PARTICIPATION epoch=200071, participation=0.9993149323451321
LEDGER t=6402353 tip=6402272, quorum=0.5
PARTICIPATION epoch=200072, participation=0.9984701338899065
LEDGER t=6402384 tip=6402304, quorum=0.5
