LEDGER t=6398527 tip=6398432, quorum=0.95
LEDGER t=6398527 tip=6398432, quorum=0.96
LEDGER t=6398528 tip=6398432, quorum=0.97
LEDGER t=6398528 tip=6398432, quorum=0.98
LEDGER t=6398528 tip=6398432, quorum=0.99
LEDGER t=6398550 tip=6398464, quorum=0.67
LEDGER t=6398554 tip=6398464, quorum=0.8
LEDGER t=6398557 tip=6398464, quorum=0.9
LEDGER t=6398559 tip=6398464, quorum=0.95
LEDGER t=6398559 tip=6398464, quorum=0.96
LEDGER t=6398560 tip=6398464, quorum=0.97
LEDGER t=6398560 tip=6398464, quorum=0.98
LEDGER t=6398560 tip=6398464, quorum=0.99
LEDGER t=6398583 tip=6398496, quorum=0.67
LEDGER t=6398587 tip=6398496, quorum=0.8
LEDGER t=6398590 tip=6398496, quorum=0.9
LEDGER t=6398593 tip=6398496, quorum=0.95
LEDGER t=6398593 tip=6398496, quorum=0.96
LEDGER t=6398593 tip=6398496, quorum=0.97
LEDGER t=6398614 tip=6398528, quorum=0.67
LEDGER t=6398618 tip=6398528, quorum=0.8
LEDGER t=6398621 tip=6398528, quorum=0.9
LEDGER t=6398623 tip=6398528, quorum=0.95
LEDGER t=6398623 tip=6398528, quorum=0.96
LEDGER t=6398624 tip=6398528, quorum=0.97
LEDGER t=6398624 tip=6398528, quorum=0.98
LEDGER t=6398624 tip=6398528, quorum=0.99
LEDGER t=6398647 tip=6398560, quorum=0.67
LEDGER t=6398651 tip=6398560, quorum=0.8
LEDGER t=6398654 tip=6398560, quorum=0.9
LEDGER t=6398656 tip=6398560, quorum=0.95
LEDGER t=6398656 tip=6398560, quorum=0.96
LEDGER t=6398678 tip=6398591, quorum=0.67
LEDGER t=6398682 tip=6398591, quorum=0.8
LEDGER t=6398685 tip=6398591, quorum=0.9
LEDGER t=6398687 tip=6398591, quorum=0.95
LEDGER t=6398687 tip=6398591, quorum=0.96
LEDGER t=6398688 tip=6398591, quorum=0.97
LEDGER t=6398688 tip=6398591, quorum=0.98
LEDGER t=6398688 tip=6398591, quorum=0.99
LEDGER t=6398710 tip=6398624, quorum=0.67
LEDGER t=6398714 tip=6398624, quorum=0.8
LEDGER t=6398717 tip=6398624, quorum=0.9
LEDGER t=6398719 tip=6398624, quorum=0.95
LEDGER t=6398719 tip=6398624, quorum=0.96
LEDGER t=6398720 tip=6398624, quorum=0.97
LEDGER t=6398720 tip=6398624, quorum=0.98
LEDGER t=6398720 tip=6398624, quorum=0.99
LEDGER t=6398742 tip=6398656, quorum=0.67
LEDGER t=6398746 tip=6398656, quorum=0.8
LEDGER t=6398749 tip=6398656, quorum=0.9
LEDGER t=6398751 tip=6398656, quorum=0.95
LEDGER t=6398751 tip=6398656, quorum=0.96
LEDGER t=6398752 tip=6398656, quorum=0.97
LEDGER t=6398752 tip=6398656, quorum=0.98
LEDGER t=6398752 tip=6398656, quorum=0.99
LEDGER t=6398774 tip=6398688, quorum=0.67
LEDGER t=6398778 tip=6398688, quorum=0.8
LEDGER t=6398781 tip=6398688, quorum=0.9
LEDGER t=6398783 tip=6398688, quorum=0.95
LEDGER t=6398783 tip=6398688, quorum=0.96
LEDGER t=6398784 tip=6398688, quorum=0.97
LEDGER t=6398784 tip=6398688, quorum=0.98
LEDGER t=6398784 tip=6398688, quorum=0.99
LEDGER t=6398806 tip=6398720, quorum=0.67
LEDGER t=6398810 tip=6398720, quorum=0.8
LEDGER t=6398813 tip=6398720, quorum=0.9
LEDGER t=6398815 tip=6398720, quorum=0.95
