LEDGER t=5971351 tip=5971264, quorum=0.7
LEDGER t=5971352 tip=5971264, quorum=0.75
LEDGER t=5971356 tip=5971264, quorum=0.85
LEDGER t=5971384 tip=5971296, quorum=0.7
LEDGER t=5971385 tip=5971296, quorum=0.75
LEDGER t=5971388 tip=5971296, quorum=0.85
LEDGER t=5971415 tip=5971328, quorum=0.7
LEDGER t=5971417 tip=5971328, quorum=0.75
LEDGER t=5971420 tip=5971328, quorum=0.85
LEDGER t=5971447 tip=5971360, quorum=0.7
LEDGER t=5971449 tip=5971360, quorum=0.75
LEDGER t=5971452 tip=5971360, quorum=0.85
LEDGER t=5971479 tip=5971392, quorum=0.7
LEDGER t=5971481 tip=5971392, quorum=0.75
LEDGER t=5971484 tip=5971392, quorum=0.85
LEDGER t=5971511 tip=5971424, quorum=0.7
LEDGER t=5971512 tip=5971424, quorum=0.75
LEDGER t=5971516 tip=5971424, quorum=0.85
LEDGER t=5971543 tip=5971456, quorum=0.7
LEDGER t=5971545 tip=5971456, quorum=0.75
LEDGER t=5971548 tip=5971456, quorum=0.85
LEDGER t=5971576 tip=5971488, quorum=0.7
LEDGER t=5971577 tip=5971488, quorum=0.75
LEDGER t=5971580 tip=5971488, quorum=0.85
LEDGER t=5971607 tip=5971520, quorum=0.7
LEDGER t=5971608 tip=5971520, quorum=0.75
LEDGER t=5971612 tip=5971520, quorum=0.85
LEDGER t=5971639 tip=5971552, quorum=0.7
LEDGER t=5971641 tip=5971552, quorum=0.75
LEDGER t=5971644 tip=5971552, quorum=0.85
LEDGER t=5971671 tip=5971584, quorum=0.7
LEDGER t=5971673 tip=5971584, quorum=0.75
LEDGER t=5971676 tip=5971584, quorum=0.85
LEDGER t=5971703 tip=5971616, quorum=0.7
LEDGER t=5971704 tip=5971616, quorum=0.75
LEDGER t=5971708 tip=5971616, quorum=0.85
LEDGER t=5971735 tip=5971648, quorum=0.7
LEDGER t=5971737 tip=5971648, quorum=0.75
LEDGER t=5971740 tip=5971648, quorum=0.85
LEDGER t=5971767 tip=5971680, quorum=0.7
LEDGER t=5971769 tip=5971680, quorum=0.75
LEDGER t=5971772 tip=5971680, quorum=0.85
LEDGER t=5971799 tip=5971712, quorum=0.7
LEDGER t=5971801 tip=5971712, quorum=0.75
LEDGER t=5971804 tip=5971712, quorum=0.85
LEDGER t=5971831 tip=5971744, quorum=0.7
LEDGER t=5971833 tip=5971744, quorum=0.75
LEDGER t=5971836 tip=5971744, quorum=0.85
