PARTICIPATION epoch=186695, participation=0.969310755743398
PARTICIPATION epoch=186696, participation=0.9942187354578751
PARTICIPATION epoch=186697, participation=0.9990729537918562
PARTICIPATION epoch=186698, participation=0.9985820572761266
PARTICIPATION epoch=186699, participation=0.9963228383673037
PARTICIPATION epoch=186700, participation=0.9992098208501452
PARTICIPATION epoch=186701, participation=1
PARTICIPATION epoch=186702, participation=1
PARTICIPATION epoch=186703, participation=1
PARTICIPATION epoch=186704, participation=0.9998722574122636
PARTICIPATION epoch=186705, participation=1
PARTICIPATION epoch=186706, participation=0.9996532701190013
PARTICIPATION epoch=186707, participation=0.997957943490329
PARTICIPATION epoch=186708, participation=0.9926219531111707
PARTICIPATION epoch=186709, participation=0.998864915863257
PARTICIPATION epoch=186710, participation=0.9993959600494181
PARTICIPATION epoch=186711, participation=0.9688581820039892
PARTICIPATION epoch=186712, participation=0.9660551446502317
PARTICIPATION epoch=186713, participation=1
PARTICIPATION epoch=186714, participation=0.9999817510588948
PARTICIPATION epoch=186715, participation=1
PARTICIPATION epoch=186716, participation=0.9947570792204782
PARTICIPATION epoch=186717, participation=0.9997992616478428
PARTICIPATION epoch=186718, participation=0.9996587448013329
PARTICIPATION epoch=186719, participation=0.9951019842073664
PARTICIPATION epoch=186720, participation=0.9998886814592584
PARTICIPATION epoch=186721, participation=0.9672249017750745
PARTICIPATION epoch=186722, participation=0.9995109283783808
PARTICIPATION epoch=186723, participation=1
PARTICIPATION epoch=186724, participation=1
PARTICIPATION epoch=186725, participation=1
PARTICIPATION epoch=186726, participation=1
PARTICIPATION epoch=186727, participation=0.9958447161103477
PARTICIPATION epoch=186728, participation=0.99996350265062
PARTICIPATION epoch=186729, participation=1
PARTICIPATION epoch=186730, participation=1
PARTICIPATION epoch=186731, participation=0.9983868878065871
PARTICIPATION epoch=186732, participation=0.9991186404801311
PARTICIPATION epoch=186733, participation=0.9995565895716436
PARTICIPATION epoch=186734, participation=0.9954254162196092
PARTICIPATION epoch=186735, participation=0.9999361346500544
PARTICIPATION epoch=186736, participation=0.9997938061558899
PARTICIPATION epoch=186737, participation=0.9992409146977892
PARTICIPATION epoch=186738, participation=0.9998613209544038
PARTICIPATION epoch=186739, participation=0.981112278934653
PARTICIPATION epoch=186740, participation=0.9941189136321502
PARTICIPATION epoch=186741, participation=1
PARTICIPATION epoch=186742, participation=0.9998649704029721
PARTICIPATION epoch=186743, participation=0.9996679001802827
PARTICIPATION epoch=186744, participation=0.9995383447561074
PARTICIPATION epoch=186745, participation=1
PARTICIPATION epoch=186746, participation=0.9996660754559986
PARTICIPATION epoch=186747, participation=0.9994635310604567
PARTICIPATION epoch=186748, participation=0.9993923668133745
PARTICIPATION epoch=186749, participation=0.9995200975132658
PARTICIPATION epoch=186750, participation=0.9988230528367164
PARTICIPATION epoch=186751, participation=0.9999434335471911
PARTICIPATION epoch=186752, participation=0.9990803389607831
PARTICIPATION epoch=186753, participation=1
PARTICIPATION epoch=186754, participation=1
PARTICIPATION epoch=186755, participation=0.9983559234199713
PARTICIPATION epoch=186756, participation=0.9994142635047845
PARTICIPATION epoch=186757, participation=0.9999069390615078
PARTICIPATION epoch=186758, participation=1
PARTICIPATION epoch=186759, participation=0.9865152875400527
PARTICIPATION epoch=186760, participation=0.9992062449363901
PARTICIPATION epoch=186761, participation=0.9999178874072128
PARTICIPATION epoch=186762, participation=0.9923379827308094
PARTICIPATION epoch=186763, participation=0.9982373163415008
PARTICIPATION epoch=186764, participation=0.9985438700212398
PARTICIPATION epoch=186765, participation=1
PARTICIPATION epoch=186766, participation=0.9984818293955783
PARTICIPATION epoch=186767, participation=0.9995894370360638
PARTICIPATION epoch=186768, participation=0.9996989204931135
PARTICIPATION epoch=186769, participation=1
PARTICIPATION epoch=186770, participation=1
PARTICIPATION epoch=186771, participation=1
PARTICIPATION epoch=186772, participation=0.9990164736108375
PARTICIPATION epoch=186773, participation=0.9987591874867707
PARTICIPATION epoch=186774, participation=0.9999854022057267
PARTICIPATION epoch=186775, participation=0.9982537388600582
PARTICIPATION epoch=186776, participation=0.9988887429109462
PARTICIPATION epoch=186777, participation=1
PARTICIPATION epoch=186778, participation=0.9990529680965207
PARTICIPATION epoch=186779, participation=0.9992682855620516
PARTICIPATION epoch=186780, participation=0.9980292977731064
PARTICIPATION epoch=186781, participation=0.9910770982504543
PARTICIPATION epoch=186782, participation=1
PARTICIPATION epoch=186783, participation=0.9995857875874955
PARTICIPATION epoch=186784, participation=0.9964582101644441
PARTICIPATION epoch=186785, participation=0.9877104819461779
PARTICIPATION epoch=186786, participation=0.9995675403446539
PARTICIPATION epoch=186787, participation=0.9984051909756436
PARTICIPATION epoch=186788, participation=0.9686676593166772
PARTICIPATION epoch=186789, participation=0.9692588699847453
PARTICIPATION epoch=186790, participation=0.9997135182873867
PARTICIPATION epoch=186791, participation=0.997876020933237
PARTICIPATION epoch=186792, participation=1
PARTICIPATION epoch=186793, participation=1
PARTICIPATION epoch=186794, participation=0.9971718012159431
PARTICIPATION epoch=186795, participation=1
PARTICIPATION epoch=186796, participation=0.9989180174722845
PARTICIPATION epoch=186797, participation=1
PARTICIPATION epoch=186798, participation=1
PARTICIPATION epoch=186799, participation=0.9985750567422987
PARTICIPATION epoch=186800, participation=0.9981098339719029
PARTICIPATION epoch=186801, participation=0.9688090668262459
PARTICIPATION epoch=186802, participation=0.998571470272716
PARTICIPATION epoch=186803, participation=0.9999033065510724
PARTICIPATION epoch=186804, participation=1
PARTICIPATION epoch=186805, participation=0.9982504469661035
PARTICIPATION epoch=186806, participation=0.9981373575653202
PARTICIPATION epoch=186807, participation=1
PARTICIPATION epoch=186808, participation=1
PARTICIPATION epoch=186809, participation=0.9999981756685262
PARTICIPATION epoch=186810, participation=0.9995439171315671
PARTICIPATION epoch=186811, participation=0.9980351950027913
PARTICIPATION epoch=186812, participation=1
PARTICIPATION epoch=186813, participation=0.999042225976291
PARTICIPATION epoch=186814, participation=1
PARTICIPATION epoch=186815, participation=1
PARTICIPATION epoch=186816, participation=1
PARTICIPATION epoch=186817, participation=1
PARTICIPATION epoch=186818, participation=0.9962199851864284
PARTICIPATION epoch=186819, participation=1
PARTICIPATION epoch=186820, participation=1
PARTICIPATION epoch=186821, participation=1
PARTICIPATION epoch=186822, participation=1
PARTICIPATION epoch=186823, participation=1
PARTICIPATION epoch=186824, participation=1
PARTICIPATION epoch=186825, participation=0.9995749307666205
PARTICIPATION epoch=186826, participation=1
PARTICIPATION epoch=186827, participation=0.9983708719939578
PARTICIPATION epoch=186828, participation=0.9942059232394289
PARTICIPATION epoch=186829, participation=1
PARTICIPATION epoch=186830, participation=1
PARTICIPATION epoch=186831, participation=0.9896304999033104
PARTICIPATION epoch=186832, participation=0.9850915631966666
PARTICIPATION epoch=186833, participation=0.999626012047885
PARTICIPATION epoch=186834, participation=1
PARTICIPATION epoch=186835, participation=0.9996406066996749
PARTICIPATION epoch=186836, participation=1
PARTICIPATION epoch=186837, participation=0.9997701342343098
PARTICIPATION epoch=186838, participation=1
PARTICIPATION epoch=186839, participation=1
PARTICIPATION epoch=186840, participation=0.9993468893324041
PARTICIPATION epoch=186841, participation=1
PARTICIPATION epoch=186842, participation=0.9999416213928406
PARTICIPATION epoch=186843, participation=1
PARTICIPATION epoch=186844, participation=0.9999781080223152
PARTICIPATION epoch=186845, participation=1
PARTICIPATION epoch=186846, participation=1
PARTICIPATION epoch=186847, participation=1
PARTICIPATION epoch=186848, participation=0.9997117556271504
PARTICIPATION epoch=186849, participation=0.9990586449595545
PARTICIPATION epoch=186850, participation=0.9994216869228272
PARTICIPATION epoch=186851, participation=0.9995676334407256
PARTICIPATION epoch=186852, participation=1
PARTICIPATION epoch=186853, participation=0.9997044583012555
PARTICIPATION epoch=186854, participation=1
PARTICIPATION epoch=186855, participation=0.9995895254184104
PARTICIPATION epoch=186856, participation=0.999602301542997
PARTICIPATION epoch=186857, participation=0.9755528475158803
PARTICIPATION epoch=186858, participation=1
PARTICIPATION epoch=186859, participation=0.9976157379537304
PARTICIPATION epoch=186860, participation=0.9958882569055029
PARTICIPATION epoch=186861, participation=0.9935041244522924
PARTICIPATION epoch=186862, participation=0.9977179944618955
PARTICIPATION epoch=186863, participation=0.9997209068157109
PARTICIPATION epoch=186864, participation=0.9995202515851763
PARTICIPATION epoch=186865, participation=0.9995932171235525
PARTICIPATION epoch=186866, participation=0.9986264237400676
PARTICIPATION epoch=186867, participation=0.9985406892324755
PARTICIPATION epoch=186868, participation=0.9971306302033549
PARTICIPATION epoch=186869, participation=0.9997409723387644
PARTICIPATION epoch=186870, participation=1
PARTICIPATION epoch=186871, participation=0.9992812894469942
PARTICIPATION epoch=186872, participation=1
PARTICIPATION epoch=186873, participation=0.990713311103166
PARTICIPATION epoch=186874, participation=0.9992685204777784
PARTICIPATION epoch=186875, participation=0.9992320377085903
PARTICIPATION epoch=186876, participation=0.9989711859088952
PARTICIPATION epoch=186877, participation=0.9997537413079802
PARTICIPATION epoch=186878, participation=0.9944801570218386
PARTICIPATION epoch=186879, participation=0.9993724963699645
PARTICIPATION epoch=186880, participation=0.9979569649254657
