(186563, 0.9951323450740099)
(186564, 0.9982216704247725)
(186565, 0.9985777222742568)
(186566, 0.998740234535466)
(186567, 0.9993263091784441)
(186568, 0.9999324493324351)
(186569, 0.9979387917924113)
(186570, 0.9983696555098523)
(186571, 0.9833533246795451)
(186572, 0.9975280107058679)
(186573, 0.998269242355364)
(186574, 0.9715684717300456)
(186575, 0.9903968510434752)
(186576, 0.9988607671199864)
(186577, 1)
(186578, 0.9997699625915357)
(186579, 0.9686364076189851)
(186580, 0.9997097146988427)
(186581, 0.999629384175252)
(186582, 0.9929765562669676)
(186583, 0.9977653508892042)
(186584, 1)
(186585, 0.9991729607457593)
(186586, 0.9984353804836993)
(186587, 0.9987493998031902)
(186588, 1)
(186589, 1)
(186590, 1)
(186591, 0.9994723745155065)
(186592, 0.9986179498554963)
(186593, 0.9991747864394773)
(186594, 0.9995746133637129)
(186595, 0.9999561833507687)
(186596, 0.9991766121331953)
(186597, 1)
(186598, 1)
(186599, 1)
(186600, 0.9990360477959634)
(186601, 0.9995600206662492)
(186602, 1)
(186603, 0.9998101389454314)
(186604, 1)
(186605, 0.9767043639384065)
(186606, 0.997977338155106)
(186607, 0.9998192774383399)
(186608, 0.9826965237884007)
(186609, 1)
(186610, 0.9999634919910555)
(186611, 0.9774986172793534)
(186612, 0.9998065124972848)
(186613, 0.9997517518833088)
(186614, 1)
(186615, 0.9999434140322248)
(186616, 1)
(186617, 1)
(186618, 1)
(186619, 0.9987094748639656)
(186620, 0.9996276278249632)
(186621, 1)
(186622, 0.9929815146420755)
(186623, 1)
(186624, 1)
(186625, 1)
(186626, 0.99940676001526)
(186627, 0.9994414417374448)
(186628, 1)
(186629, 0.9998941294796464)
(186630, 1)
(186631, 1)
(186632, 1)
(186633, 1)
(186634, 0.9999288112018312)
(186635, 0.9971068142282677)
(186636, 0.997820527563755)
(186637, 1)
(186638, 1)
(186639, 1)
(186640, 1)
(186641, 1)
(186642, 1)
(186643, 0.9987423312323511)
(186644, 0.9938284788049043)
(186645, 0.997245541117007)
(186646, 0.9998430195732688)
(186647, 0.9982786913673543)
(186648, 0.9995144558894128)
(186649, 0.9990708949162072)
(186650, 1)
(186651, 1)
(186652, 0.999625802471164)
(186653, 1)
(186654, 0.9966650725214388)
(186655, 1)
(186656, 0.9931895925437811)
(186657, 0.9986638385800182)
(186658, 0.999286285361731)
(186659, 0.9829402122525273)
(186660, 1)
(186661, 1)
(186662, 0.9699546216217203)
(186663, 1)
(186664, 1)
(186665, 1)
(186666, 0.9987314323680051)
(186667, 1)
(186668, 1)
(186669, 0.998151075223678)
(186670, 1)
(186671, 0.9991330566415162)
(186672, 1)
(186673, 1)
(186674, 1)
(186675, 0.9980636354013439)
(186676, 0.9995090721280719)
(186677, 1)
(186678, 1)
(186679, 1)
(186680, 0.9998211593980736)
(186681, 0.9995054536960493)
(186682, 0.9991550740268296)
(186683, 0.9997718882361851)
(186684, 1)
(186685, 0.9993758862142024)
(186686, 0.999764588659743)
(186687, 0.9988046943576099)
(186688, 1)
(186689, 0.9973812769514049)
(186690, 0.9993448630143236)
(186691, 0.9957954439693637)
(186692, 1)
(186693, 1)
(186694, 0.998485337888269)
(186695, 0.969310755743398)
(186696, 0.9942187354578751)
(186697, 0.9990729537918562)
(186698, 0.9985820572761266)
(186699, 0.9963228383673037)
(186700, 0.9992098208501452)
(186701, 1)
(186702, 1)
(186703, 1)
(186704, 0.9998722574122636)
(186705, 1)
(186706, 0.9996532701190013)
(186707, 0.997957943490329)
(186708, 0.9926219531111707)
(186709, 0.998864915863257)
(186710, 0.9993959600494181)
(186711, 0.9688581820039892)
(186712, 0.9660551446502317)
(186713, 1)
(186714, 0.9999817510588948)
(186715, 1)
(186716, 0.9947570792204782)
(186717, 0.9997992616478428)
(186718, 0.9996587448013329)
(186719, 0.9951019842073664)
(186720, 0.9998886814592584)
(186721, 0.9672249017750745)
(186722, 0.9995109283783808)
(186723, 1)
(186724, 1)
(186725, 1)
(186726, 1)
(186727, 0.9958447161103477)
(186728, 0.99996350265062)
(186729, 1)
(186730, 1)
(186731, 0.9983868878065871)
(186732, 0.9991186404801311)
(186733, 0.9995565895716436)
(186734, 0.9954254162196092)
(186735, 0.9999361346500544)
(186736, 0.9997938061558899)
(186737, 0.9992409146977892)
(186738, 0.9998613209544038)
(186739, 0.981112278934653)
(186740, 0.9941189136321502)
(186741, 1)
(186742, 0.9998649704029721)
(186743, 0.9996679001802827)
(186744, 0.9995383447561074)
(186745, 1)
(186746, 0.9996660754559986)
(186747, 0.9994635310604567)
(186748, 0.9993923668133745)
(186749, 0.9995200975132658)
(186750, 0.9988230528367164)
(186751, 0.9999434335471911)
(186752, 0.9990803389607831)
(186753, 1)
(186754, 1)
(186755, 0.9983559234199713)
(186756, 0.9994142635047845)
(186757, 0.9999069390615078)
(186758, 1)
(186759, 0.9865152875400527)
(186760, 0.9992062449363901)
(186761, 0.9999178874072128)
(186762, 0.9923379827308094)
(186763, 0.9982373163415008)
(186764, 0.9985438700212398)
(186765, 1)
(186766, 0.9984818293955783)
(186767, 0.9995894370360638)
(186768, 0.9996989204931135)
(186769, 1)
(186770, 1)
(186771, 1)
(186772, 0.9990164736108375)
(186773, 0.9987591874867707)
(186774, 0.9999854022057267)
(186775, 0.9982537388600582)
(186776, 0.9988887429109462)
(186777, 1)
(186778, 0.9990529680965207)
(186779, 0.9992682855620516)
(186780, 0.9980292977731064)
(186781, 0.9910770982504543)
(186782, 1)
(186783, 0.9995857875874955)
(186784, 0.9964582101644441)
(186785, 0.9877104819461779)
(186786, 0.9995675403446539)
(186787, 0.9984051909756436)
(186788, 0.9686676593166772)
(186789, 0.9692588699847453)
(186790, 0.9997135182873867)
(186791, 0.997876020933237)
(186792, 1)
(186793, 1)
(186794, 0.9971718012159431)
(186795, 1)
(186796, 0.9989180174722845)
(186797, 1)
(186798, 1)
(186799, 0.9985750567422987)
(186800, 0.9981098339719029)
(186801, 0.9688090668262459)
(186802, 0.998571470272716)
(186803, 0.9999033065510724)
(186804, 1)
(186805, 0.9982504469661035)
(186806, 0.9981373575653202)
(186807, 1)
(186808, 1)
(186809, 0.9999981756685262)
(186810, 0.9995439171315671)
(186811, 0.9980351950027913)
(186812, 1)
(186813, 0.999042225976291)
(186814, 1)
(186815, 1)
(186816, 1)
(186817, 1)
(186818, 0.9962199851864284)
(186819, 1)
(186820, 1)
(186821, 1)
(186822, 1)
(186823, 1)
(186824, 1)
(186825, 0.9995749307666205)
(186826, 1)
(186827, 0.9983708719939578)
(186828, 0.9942059232394289)
(186829, 1)
(186830, 1)
(186831, 0.9896304999033104)
(186832, 0.9850915631966666)
(186833, 0.999626012047885)
(186834, 1)
(186835, 0.9996406066996749)
(186836, 1)
(186837, 0.9997701342343098)
(186838, 1)
(186839, 1)
(186840, 0.9993468893324041)
(186841, 1)
(186842, 0.9999416213928406)
(186843, 1)
(186844, 0.9999781080223152)
(186845, 1)
(186846, 1)
