(64, 65, 0.029066901073917954)
(65, 66, 0.031140965369908465)
(66, 67, 0.03123596831499964)
(67, 68, 0.03123596831499964)
(68, 69, 0.03123596831499964)
(69, 70, 0.03123596831499964)
(70, 71, 0.03123596831499964)
(71, 72, 0.03123596831499964)
(72, 73, 0.03123596831499964)
(73, 74, 0.03123596831499964)
(74, 75, 0.03123596831499964)
(75, 76, 0.03123596831499964)
(76, 77, 0.03123596831499964)
(77, 78, 0.03123596831499964)
(78, 79, 0.03123596831499964)
(79, 80, 0.03123596831499964)
(80, 81, 0.03123596831499964)
(81, 82, 0.03123596831499964)
(82, 83, 0.03123596831499964)
(83, 84, 0.03123596831499964)
(84, 85, 0.03123596831499964)
(85, 86, 0.03123596831499964)
(86, 87, 0.03123596831499964)
(87, 88, 0.03123596831499964)
(88, 89, 0.03123596831499964)
(89, 90, 0.03123596831499964)
(90, 91, 0.03123596831499964)
(91, 92, 0.03123596831499964)
(92, 93, 0.03123596831499964)
(93, 94, 0.03123596831499964)
(94, 95, 0.03123596831499964)
(95, 96, 0.03123596831499964)
(96, 97, 0.0021830676750979575)
(97, 98, 8.600266608264868e-05)
(98, 99, 5.000155004805149e-06)
(99, 100, 3.0000930028830896e-06)
(100, 101, 3.0000930028830896e-06)
(101, 102, 3.0000930028830896e-06)
(102, 103, 3.0000930028830896e-06)
(103, 104, 3.0000930028830896e-06)
(104, 105, 3.0000930028830896e-06)
(105, 106, 3.0000930028830896e-06)
(106, 107, 3.0000930028830896e-06)
(107, 108, 3.0000930028830896e-06)
(108, 109, 3.0000930028830896e-06)
(109, 110, 3.0000930028830896e-06)
(110, 111, 3.0000930028830896e-06)
(111, 112, 3.0000930028830896e-06)
(112, 113, 3.0000930028830896e-06)
(113, 114, 3.0000930028830896e-06)
(114, 115, 3.0000930028830896e-06)
(115, 116, 3.0000930028830896e-06)
(116, 117, 3.0000930028830896e-06)
(117, 118, 3.0000930028830896e-06)
(118, 119, 3.0000930028830896e-06)
(119, 120, 3.0000930028830896e-06)
(120, 121, 3.0000930028830896e-06)
(121, 122, 3.0000930028830896e-06)
(122, 123, 3.0000930028830896e-06)
(123, 124, 3.0000930028830896e-06)
(124, 125, 3.0000930028830896e-06)
(125, 126, 3.0000930028830896e-06)
(126, 127, 3.0000930028830896e-06)
(127, 128, 3.0000930028830896e-06)
(128, 129, 2.0000620019220596e-06)
(129, 130, 2.0000620019220596e-06)
(130, 131, 2.0000620019220596e-06)
(131, 132, 2.0000620019220596e-06)
(132, 133, 2.0000620019220596e-06)
(133, 134, 2.0000620019220596e-06)
(134, 135, 2.0000620019220596e-06)
(135, 136, 2.0000620019220596e-06)
(136, 137, 2.0000620019220596e-06)
(137, 138, 2.0000620019220596e-06)
(138, 139, 2.0000620019220596e-06)
(139, 140, 2.0000620019220596e-06)
